Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
liqour,6:03 am · 5 May 2020,The Times Of India@timesofindia·7h,"Rs 52,800 liquor bill goes viral; seller, buyer under lens

The liquor bill of Rs 52,800 that went viral on WhatsApp across India has got both the seller and buyer into trouble.

READ-- http://toi.in/Edcika55/a24gk3088503",1,503,30,88,,,1,221
liqour,5:48 am · 5 May 2020,ANI@ANI·7h,"Delhi: Long queue of people outside a liquor shop in Mayur Vihar Phase -1 area amid #CoronaLockdown. Delhi Government has imposed a ""Special Corona Fee"" of 70% tax on Maximum Retail Price (MRP) of the liquor.3964376",1,376,39,64,#CoronaLockdown,,0,215
liqour,7:21 am · 5 May 2020,Harshit Sharma@Sharmajikaputtr·5h,"People: How will liquor help in improving economy?

Govt: *imposes 70% tax on liquor *

Meanwhile Economy:179",1,9,1,7,,,0,109
liqour,7:03 am · 5 May 2020,AFP news agency@AFP·6h,"VIDEO:  Chaos outside liquor stores as India eases virus lockdown.

Police disperse thirsty Indians jostling to buy alcohol for the first time in 40 days as the government eased further the world's biggest #coronavirus lockdown0:424.4K views56548",1,48,5,65,#coronavirus,,0,246
liqour,6:12 am · 5 May 2020,NDTV@ndtv·6h,"Despite 70% rise in taxes on liquor, there are large number of people queuing up outside shops in Delhi, flouting social distancing norms.24.6K views0:00 / 0:291161971K",1,1K,116,197,,,0,168
liqour,4:49 am · 5 May 2020,ANI@ANI·8h,"#WATCH Delhi: A man showers flower petals on people standing in queue outside liquor shops in Chander Nagar area of Delhi. The man says, ""You are the economy of our country, government does not have any money"".  #CoronaLockdown0:22109.1K views4512.4K7.9K",1,7.9K,451,2.4K,"#WATCH,#CoronaLockdown",,0,254
liqour,7:23 am · 5 May 2020,Shashi Shankar Singh@Morewithshashi·5h,"Just In: Chhattisgarh government has started home delivery of liquor in green zones in the state. A customer can place an online order for up to 5000ml liquor at a time, with delivery charges of Rs 120.32544",0,44,3,25,,,0,207
liqour,7:36 am · 5 May 2020,Sarcasm™@SarcasticRofl·5h,"Kids buy Relief measures 
Teenagers buy MLA
Adults buy Liquor
Legends ""Rent"" Journalist",1,,,,,,0,87
liqour,4:17 am · 5 May 2020,ANI@ANI·8h,"Karnataka: People use water bottles, bags, helmets, slippers etc to reserve their places in queue, outside liquor shops in Gokul road area of Hubli. #CoronaLockdown862051K",1,1K,86,205,#CoronaLockdown,,0,171
liqour,5:04 am · 5 May 2020,Mufti Islah@islahmufti·8h,"Liquor is not bread, roti, sabzi or daal that needs to be made available. Why are the shops allowed to open in first place? Now don't tell us those lining up at liquor shops are Tabligis.2853508",0,508,28,53,,,0,194
liqour,5:41 am · 5 May 2020,NDTV@ndtv·7h,"No social distancing, large crowd at a government liquor shop in Delhi. Delhi Government has imposed a ""Special Corona Fee"" of 70% tax on MRP of liquor. (ANI)3359326",1,326,33,59,,,0,165
liqour,1:03 am · 5 May 2020,Yousuf A Khan@YAKHAN363·12h,"Bottle Gang leading towards liquor shops by breaking social distancing norm & endangering their lives and lives of the fellow citizens #LiquorShops #LiquorFreeIndiaQuote TweetMazhar Farooqui@Mazharfarooqui · 12hEveryone has their own path, but it appears all of them lead to the liquor store!  #IndiaLockdown #coronavirusinindia1111",0,11,,11,"#LiquorShops,#LiquorFreeIndia",,0,332
liqour,4:22 am · 5 May 2020,Gunjan@monicas_7777·8h,"Liquor prices are raised by 70% on MRP

Ravi shastri be like52588",1,88,5,25,,,0,65
liqour,7:22 am · 5 May 2020,Raghav Masoom@comedibanda·5h,When neighbours  see you standing in the line to buy  liquor.917,1,17,,9,,,0,64
liqour,7:26 am · 5 May 2020,SatyaMohan@SatyaMo17472489·5h,"What's happening at liquor shops
All the hard work till now is going to be a waste. PM sir, please close the liquor shops",1,,,,,,0,121
liqour,6:37 am · 5 May 2020,Emmanuel@Emmanue78639337·6h,"#மே7அழிவின்ஆரம்பம் All parites and fans are use this tag . Liqour shops are only run by admk and dmk party members ,so they want to stop that.GIF94",1,4,,9,#மே7அழிவின்ஆரம்பம்,,0,147
liqour,1:02 am · 5 May 2020,dekh tamasha democracy ka@sabscamhai420·12h,India economy after opening of liquor shops #ठेके37,1,7,,3,#ठेके,,0,51
liqour,1:22 am · 5 May 2020,D.Muthukrishnan@dmuthuk·11h,"Delhi has increased liquor prices by a whopping 70%

I feel Delhi may lose business to Haryana and UP.7942665",0,665,79,42,,,0,109
liqour,4:37 am · 5 May 2020,Mission Ambedkar@MissionAmbedkar·8h,"Liquor ruins the society but
In pandemic, drinking is like tonic.
Is it right Narendra Modi?1243",1,43,,12,,,0,96
