Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
pulitzer,4:10 am · 5 May 2020,Arfa Khanum Sherwani@khanumarfa,"Associated Press news agency's photographers Dar Yasin, Mukhtar Khan and Channi Anand’s work has been honoured with the 2020 Pulitzer Prize in feature photography.
Congratulations to all !1504522.5K",1,2.5K,150,452,,,0,198
pulitzer,4:21 am · 5 May 2020,Rohini Singh@rohini_sgh,"Kashmir has got a Pulitzer.Quote TweetThe Pulitzer Prizes@PulitzerPrizes · 18hCongratulations to Channi Anand, Mukhtar Khan and @daryasin of @AP. #Pulitzer461351K",0,1K,46,135,,,0,162
pulitzer,6:46 am · 5 May 2020,Khaled Beydoun@KhaledBeydoun,"Congratulations to Dar Yasin and the whole of #Kashmir for winning the Pulitzer Prize for this picture. 

What #India deems “terrorism,” the Pulitzer considers high art1090357",1,357,10,90,"#Kashmir,#India",,0,175
pulitzer,3:25 am · 5 May 2020,Nidhi Razdan@Nidhi,"Many congratulations, this is a big recognition as photo journalists from Jammu and Kashmir win the Pulitzer for capturing life in lockdown in J&K after August 5th, 2019 and the end of the erstwhile state and its special statusQuote TweetThe Pulitzer Prizes@PulitzerPrizes · 18hCongratulations to Channi Anand, Mukhtar Khan and @daryasin of @AP. #Pulitzer723222.5K",0,2.5K,72,322,,,0,364
pulitzer,4:41 am · 5 May 2020,Vinod K. Jose@vinodjose,Kashmir gets its first Pulitzer. How Kashmir is memorialised to the world:8142420,1,420,8,142,,,0,81
pulitzer,5:43 am · 5 May 2020,Ashok Swain@ashoswai,"Three #Kashmiri photographers Dar Yasin, Mukhtar Khan, Channi Anand have been honored with the 2020 Pulitzer Prize in feature photography. They have taken photos of Modi's unprecedented crackdown on #Kashmir since August 2019.AP wins feature photography Pulitzer for Kashmir coverageNEW YORK (AP) — The story of India’s crackdown on Kashmir last August was difficult to show to the world. The unprecedented lockdown included a sweeping curfew and shutdowns of phone and internet...apnews.com18282960",1,960,18,282,"#Kashmiri,#Kashmir",,2,499
pulitzer,1:56 am · 5 May 2020,Joe Sonka  #StayHome@joesonka,Won a Pulitzer and this little girl went pee on the potty. A big night of accomplishments in this household.48153219.4K,0,19.4K,481,532,,,0,119
pulitzer,3:12 am · 5 May 2020,Abhishek Saha@saha_abhi1990,"Many many congratulations to @daryasin on the Pulitzer!

In 2017, wrote this story on him — on how he left his camera to help an injured girl. The story — steered by @Rubenbanerjee — was published on page 1 of HT.Photojournalist drops camera to save girl hit by stone during Kashmir protest - india news -...The image of Dar Yasin running with the girl in his arms was captured by another young photojournalist and has gone viral, striking a chord with hundreds of Kashmiris.hindustantimes.com7233780",1,780,7,233,,"@daryasin,@Rubenbanerjee",2,500
pulitzer,2:17 am · 5 May 2020,The New York Times@nytimes,"Congratulations to @mschwirtz, @ddknyt, @dionnesearcey and our Visual Investigations team, including @malachybrowne and @markscheffler. They won the Pulitzer in international reporting for documenting Russia’s ""shadow wars."" 

Here’s a look at some of their reporting.1080302",0,302,10,80,,"@mschwirtz,@ddknyt,@dionnesearcey,@malachybrowne,@markscheffler",0,275
pulitzer,6:58 am · 5 May 2020,Khurram Parvez@KhurramParvez,"Pulitzer for 3 photojournalists from Jammu & Kashmir is ofcourse a huge achievement for Yasin Dar, Mukhtar Khan & Channi Anand but moreover this Pulitzer prize is an acknowledgement that Kashmiris are succeeding in narrating their stories to the world themselves.498412",0,412,4,98,,,0,269
